Name,RedBr,GreenBr,BlueBr
0040b3d8-ba1b-43e5-b0b8-a7fbc4f2bc7a.jpg,178.53,149.47,157.46
00416a54-ca6a-47be-a388-55833aae46f6.jpg,199.73,167.58,173.58
004219f8-722e-4291-b670-ac538ee188d6.jpg,167.5,131.12,118.95
00421aec-df7d-4825-b744-9e5ed33a3275.jpg,202.12,159.36,154.74
0042267f-e4f2-4105-ac17-fd4f75e82ff4.jpg,225.02,169.85,169.54
00430d9b-a150-4115-b109-d036ac812a91.jpg,230.01,182.9,181.78
0044045f-5913-4dc5-b881-70ef1308f0b1.jpg,242.77,187.98,155.9
004449c7-5fb6-4583-a3e7-64e4dbc32984.jpg,207.93,164.02,156.47
00456ea5-5a51-4994-85ff-643cf07fffe1.jpg,217.49,166.52,149.94
004618c5-46d7-4878-b0aa-f7bfcb03f67e.jpg,222.25,177.41,173.92
0046de36-c1e6-4568-b639-5a84acc4f77b.jpg,0,0,0
00471b77-1528-4a6b-9452-a4f86af2f9a8.jpg,199.86,164.7,159.25
00474ea0-6d2a-4181-9e81-07ab80c140f6.jpg,209.52,147.57,167.58
0047632e-6e49-4016-92dc-86a6178ffed7.jpg,0,0,0
0047fa0a-2d4b-4f95-907c-a07b3df11540.jpg,196.48,136.94,146.53
0048a193-1ab7-450f-a8d2-e57555369eea.jpg,193.52,156.76,137.01
0048bab8-6e97-49eb-a3cc-de270d23eb2d.jpg,225.47,178.92,168.41
0048d4d5-eae5-418d-b5f9-774cb8d087f8.jpg,181.33,138.22,131.75
0048ea22-e872-4586-9a42-022fdc29680e.jpg,188.53,118.66,93.92
004a07f1-24bd-432c-9f6a-b3f085de29c7.jpg,129.14,95.85,96.69
004beed2-31ac-4243-aeff-0201e7b02231.jpg,176.06,154.41,153.26
004c163f-a529-451f-b761-7ee12c2d9e53.jpg,225.11,154.4,140.54
004c5625-2b9d-45ca-be7c-9fae3619ce70.jpg,198.88,159.47,147.26
004d8193-8a4b-4784-a28a-9d9978852637.jpg,214.96,167.55,150.24
004dba94-93ea-4428-8ed8-9f449f459963.jpg,201.08,159.67,157.49
